Actual,Predicted
8499,7518.411289
6299,7000.978355
19499,22043.857
10999,11289.04672
12599,13215.42446
14499,17477.58194
9999,8732.036167
17999,14903.22047
29499,20863.70571
9790,10733.93462
8999,16157.11615
29999,35706.15772
19499,22046.15853
16499,48567.73635
32999,25004.61625
16999,15857.42954
9999,15645.17512
15999,22534.58572
23999,20227.85784
18999,17386.71566
6999,10643.80171
17999,20179.28263
9999,8267.125535
17999,18599.26131
28298,28169.73998
11999,22994.97498
8049,5692.554169
23999,21243.88238
9499,9496.389526
8069,11230.70701
17499,16426.82975
16999,16268.57594
1699,1484.765836
16499,20270.49482
17999,21720.12775
80999,19809.44746
10943,9402.48923
15999,19270.18192
16999,16000.12488
8999,7226.233309
12999,16799.95077
49999,42279.29024
23999,19720.39314
12999,13392.86318
5999,8810.045567
13999,18725.23692
16999,25686.18266
9499,15772.48695
9790,12719.85892
6599,8061.332196
15999,16727.05685
29418,35965.17937
9999,14019.28992
7999,8845.208981
8460,7865.272924
17999,18861.94176
19999,21058.3092
27999,30249.98026
11980,15410.76395
11999,17894.30501
11970,12106.96933
25999,21706.44312
6299,8863.895077
79999,26474.77606
5999,4461.443126
8999,11076.65674
16499,19781.53969
21499,20220.88876
8999,7654.319336
14490,16499.91991
9999,12470.65021
16999,16376.74821
17999,30357.96369
14999,10666.23006
6499,5429.735456
1199,4985.158874
10499,11773.29765
17999,19052.6014
29999,29246.03162
13999,18600.95388
8049,5542.954213
7749,11860.70475
11999,13409.7544
14999,15112.34062
7299,4861.840751
7999,8700.212101
31989,21122.08312
15999,17491.28674
18999,17606.05581
13490,14052.39386
14490,16173.10155
7961,9926.219416
29999,35844.24999
6299,6784.633804
11999,12818.44779
6299,7003.279893
17999,29313.0403
5649,7451.405955
21999,27299.82179
10989,5258.11871
6999,11859.50852
10999,11608.75128
11999,12412.39404
16999,25672.37343
9999,14375.25525
7999,12968.12594
9999,12703.10553
8999,11996.88395
1599,1823.409161
