Actual,Predicted
8499,8206.761668533634
6299,7019.769853098301
19499,20207.457011587943
10999,10981.186778602789
12599,12723.115550879165
14499,14132.48804353036
9999,9314.353086146757
17999,18179.716011523007
29499,26120.195621910203
9790,8368.232500752862
8999,9123.148856460379
29999,32690.917388687412
19499,20207.457011587943
16499,17197.320427127037
32999,33847.65281746847
16999,14516.612272540317
9999,9840.36702171018
15999,18862.187448204404
23999,23430.740855201
18999,19717.433889757347
6999,6708.017701548124
17999,20342.89183172851
9999,9322.480149050394
17999,17277.67923836889
28298,29763.449773267086
11999,15581.83745602278
8049,7968.2859205122295
23999,22168.96913750617
9499,9132.24546160104
8069,9481.77444143301
17499,16192.390144729161
16999,17644.729541874975
1699,889.9890910828191
16499,15043.052756267534
17999,33104.008281751536
80999,78383.15744040137
10943,11247.437600546404
15999,16843.237864877727
16999,14557.161976246887
8999,8717.274906624842
12999,16722.57927437558
49999,42163.334190779584
23999,23004.31724352174
12999,11143.68532247922
5999,6421.685762547087
13999,15286.517042322892
16999,18881.897018348678
9499,10124.727739512697
9790,10196.70873332766
6599,7080.161127318767
15999,16098.035485328155
29418,29464.92002337636
9999,8618.436877369488
7999,8417.016718100986
8460,7469.775288160583
17999,22882.0522523179
19999,20604.362740185417
27999,28771.871662739166
11980,11277.15252305564
11999,14488.775861706697
11970,10084.678273071013
25999,22311.3191813523
6299,7135.520874881282
79999,33837.756754951246
5999,6939.334674024885
8999,8336.507637331186
16499,15713.499071789118
21499,19938.810287217304
8999,8451.088455686971
14490,15801.331247474769
9999,10825.70457532835
16999,17644.729541874975
17999,21156.955080645537
14999,11493.573735015418
6499,7048.40271485556
1199,2344.302604763501
10499,10675.735568536344
17999,17277.30627059043
29999,30391.016714218662
13999,15257.2555083124
8049,7968.2859205122295
7749,9260.748636785998
11999,11699.471096759917
14999,15202.073422180165
7299,7325.593542096048
7999,8417.016718100986
31989,25078.980516585514
15999,16755.407412472316
18999,19687.964919705577
13490,15078.19771637771
14490,15850.008014084977
7961,8302.728907486495
29999,32117.663387000557
6299,7068.4466197085085
11999,13423.60238926983
6299,7019.769853098301
17999,36792.25222713782
5649,7034.579896954242
21999,22662.62296505017
10989,10364.728732242573
6999,7414.321932724118
10999,13137.754316270426
11999,11559.735070808183
16999,18881.897018348678
9999,9047.260727599229
7999,8770.316977025437
9999,11176.327178212885
8999,9387.753729021675
1599,641.7708292085998
